filename,i,run_time,total_loss,content_loss,style_loss,learning_rate,iters,alpha,beta,noise_ratio,optimizer,new_width,pool_method,pool_stride,last_style_loss_layer_w,style_num_layers,content_layer_num
tubingen_starry_night_w300_i400_lr1000_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,400,0,90620862464,0.055264995,906208640,1000,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i500_lr1000_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.1.jpg,500,0.101294942,90620862464,0.055264995,906208640,1000,500,1,100,0.1,adam,300,avg,2,,5,4tubingen_composition7_w300_i0_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,0,0,971309068582912.0,0.011939939111471176,97130.90625,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i100_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,100,0,35273266167808.0,0.02332325279712677,3527.326416015625,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i200_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,200,0,5168635052032.0,0.026704147458076477,516.863525390625,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i300_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,300,0,1405291331584.0,0.027060195803642273,140.5291290283203,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i400_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,400,0,437949202432.0,0.026999665424227715,43.794921875,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i500_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,500,0,174840397824.0,0.02696189284324646,17.484039306640625,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i600_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,600,0,95630090240.0,0.026960687711834908,9.563009262084961,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i700_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,700,0,64179601408.0,0.026985401287674904,6.417960166931152,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i800_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,800,0,47545638912.0,0.027026763185858727,4.754563808441162,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i900_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,900,0,37066170368.0,0.027074584737420082,3.7066171169281006,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i1000_lr1.0_alpha1_beta10000000000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.1.jpg,1000,0.05791819429397583,37066170368.0,0.027074584737420082,3.7066171169281006,1.0,1000,1,10000000000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i0_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,0,0,97056504.0,0.011853811331093311,97056.5078125,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i100_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,100,0,3500262.0,0.02358163706958294,3500.261962890625,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i200_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,200,0,524215.25,0.027288513258099556,524.2152099609375,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i300_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,300,0,145813.578125,0.027490291744470596,145.8135528564453,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i400_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,400,0,45347.60546875,0.027330512180924416,45.34757995605469,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i500_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,500,0,17883.5,0.027242397889494896,17.883472442626953,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i600_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,600,0,9635.080078125,0.027226246893405914,9.635052680969238,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i700_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,700,0,6392.52099609375,0.027248093858361244,6.392493724822998,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i800_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,800,0,4698.26953125,0.027288613840937614,4.6982421875,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i900_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,900,0,3641.512451171875,0.027332831174135208,3.6414852142333984,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i1000_lr1.0_alpha1_beta1000_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.1.jpg,1000,0.05764113473892212,3641.512451171875,0.027332831174135208,3.6414852142333984,1.0,1000,1,1000,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i0_lr1.0_alpha1_beta0.001_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,0,0,97.17870330810547,0.011921484023332596,97166.7734375,1.0,1000,1,0.001,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i100_lr1.0_alpha1_beta0.001_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,100,0,3.63698673248291,0.022960519418120384,3614.026123046875,1.0,1000,1,0.001,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i200_lr1.0_alpha1_beta0.001_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,200,0,0.5604291558265686,0.025749538093805313,534.6795654296875,1.0,1000,1,0.001,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i300_lr1.0_alpha1_beta0.001_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,300,0,0.1710444539785385,0.025482481345534325,145.5619659423828,1.0,1000,1,0.001,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i400_lr1.0_alpha1_beta0.001_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,400,0,0.06836656481027603,0.024621378630399704,43.74518585205078,1.0,1000,1,0.001,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i500_lr1.0_alpha1_beta0.001_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,500,0,0.040834374725818634,0.023692918941378593,17.14145278930664,1.0,1000,1,0.001,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i600_lr1.0_alpha1_beta0.001_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,600,0,0.03227051720023155,0.022829687222838402,9.440829277038574,1.0,1000,1,0.001,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i700_lr1.0_alpha1_beta0.001_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,700,0,0.028477011248469353,0.022030428051948547,6.446582794189453,1.0,1000,1,0.001,0.6,adam,300,avg,2,,1,4
tubingen_composition7_w300_i800_lr1.0_alpha1_beta0.001_nr0.6_adam_avg_ps2_sllw0.2_snl1_cln4_time0.0.jpg,800,0,0.026156321167945862,0.02129455842077732,4.861762523651123,1.0,1000,1,0.001,0.6,adam,300,avg,2,,1,4
